origin,target,horizon,pred,actual,variant
2019-06-15,2019-06-22,7,6738.3515862946215,7179.0,off
2019-06-19,2019-06-20,1,6091.823163025166,6220.0,off
2019-06-19,2019-06-21,2,6290.975352545102,6774.0,off
2019-06-19,2019-06-22,3,6751.775486340821,7179.0,off
2019-06-19,2019-06-23,4,6061.857855168923,6443.0,off
2019-06-19,2019-06-24,5,5775.072398389681,5856.0,off
2019-06-19,2019-06-25,6,5858.382706523275,5918.0,off
2019-06-19,2019-06-26,7,5605.767963319964,6066.0,off
2019-07-13,2019-07-14,1,6702.7422851316305,6724.0,off
2019-07-13,2019-07-15,2,6048.26771036245,6551.0,off
2019-07-13,2019-07-16,3,6169.552021802844,6638.0,off
2019-07-13,2019-07-17,4,6021.152737810981,6172.0,off
2019-07-13,2019-07-18,5,5912.23713500949,6080.0,off
2019-07-13,2019-07-19,6,6349.461676424613,6810.0,off
2019-07-13,2019-07-20,7,7147.652586442228,7010.0,off
2019-09-18,2019-09-19,1,6537.131454851042,6462.0,off
2019-09-18,2019-09-20,2,6775.168642675937,6565.0,off
2019-09-18,2019-09-21,3,7080.411893746225,6986.0,off
2019-09-18,2019-09-22,4,6184.529002558453,6459.0,off
2019-09-18,2019-09-23,5,5783.642650257721,5777.0,off
2019-09-18,2019-09-24,6,5819.445875134856,6439.0,off
2019-09-18,2019-09-25,7,5305.979542494464,6874.0,off
2019-09-25,2019-09-26,1,5960.510391238349,6482.0,off
2019-09-25,2019-09-27,2,6145.190867644545,6580.0,off
2019-09-25,2019-09-28,3,6122.163234082692,7204.0,off
2019-09-25,2019-09-29,4,5882.618944428866,6735.0,off
2019-09-25,2019-09-30,5,5594.492737118429,6700.0,off
2019-09-25,2019-10-01,6,6313.622492562362,7398.0,off
2019-09-25,2019-10-02,7,6683.413235429718,8769.0,off
2019-10-02,2019-10-03,1,7618.310369428508,8569.0,off
2019-10-02,2019-10-04,2,7408.66742120203,8785.0,off
2019-10-02,2019-10-05,3,7875.200723148633,7434.0,off
2019-10-02,2019-10-06,4,6439.7071083057035,6622.0,off
2019-10-02,2019-10-07,5,6294.1282051290445,5599.0,off
2019-10-02,2019-10-08,6,6068.138224742176,4962.0,off
2019-10-02,2019-10-09,7,6346.696728135431,5288.0,off
2019-10-09,2019-10-10,1,5350.168085721179,6003.0,off
2019-10-09,2019-10-11,2,5253.738616668021,6234.0,off
2019-10-09,2019-10-12,3,5667.115640885235,6653.0,off
2019-10-09,2019-10-13,4,6236.264170681908,6270.0,off
2019-10-09,2019-10-14,5,5272.772644717867,5705.0,off
2019-10-09,2019-10-15,6,5968.131450209005,5905.0,off
2019-10-09,2019-10-16,7,6381.194975047657,6169.0,off
2019-12-18,2019-12-19,1,5521.704632111742,4862.0,off
2019-12-18,2019-12-20,2,6202.291261098531,5481.0,off
